indicator,drug_type,lhn,financial_year,year_start,count,mean_bed_days,group_by,sex,age_group,indigenous_status,seifa_quintile,remoteness,population,rate_per_100k,rate_lcl,rate_ucl
Alcohol and other drug-related hospitalisations,Alcohol,Barossa Hills Fleurieu LHN,2020-21,2020,373,2.78,Total,Persons,All ages,All,All,All,165000,226.1,203.2,249.0
Alcohol and other drug-related hospitalisations,Alcohol,Barossa Hills Fleurieu LHN,2021-22,2021,426,3.06,Total,Persons,All ages,All,All,All,166980,255.1,230.9,279.3
Alcohol and other drug-related hospitalisations,Alcohol,Barossa Hills Fleurieu LHN,2022-23,2022,440,2.62,Total,Persons,All ages,All,All,All,168983,260.4,236.1,284.7
Alcohol and other drug-related hospitalisations,Alcohol,Barossa Hills Fleurieu LHN,2023-24,2023,457,2.98,Total,Persons,All ages,All,All,All,171011,267.2,242.7,291.7
Alcohol and other drug-related hospitalisations,Alcohol,Barossa Hills Fleurieu LHN,2024-25,2024,431,2.85,Total,Persons,All ages,All,All,All,173063,249.0,225.5,272.5
Alcohol and other drug-related hospitalisations,Alcohol,Central Adelaide LHN,2020-21,2020,1522,2.96,Total,Persons,All ages,All,All,All,490000,310.6,295.0,326.2
Alcohol and other drug-related hospitalisations,Alcohol,Central Adelaide LHN,2021-22,2021,1706,2.92,Total,Persons,All ages,All,All,All,495880,344.0,327.7,360.3
Alcohol and other drug-related hospitalisations,Alcohol,Central Adelaide LHN,2022-23,2022,1714,2.88,Total,Persons,All ages,All,All,All,501830,341.5,325.3,357.7
Alcohol and other drug-related hospitalisations,Alcohol,Central Adelaide LHN,2023-24,2023,1840,2.91,Total,Persons,All ages,All,All,All,507852,362.3,345.7,378.9
Alcohol and other drug-related hospitalisations,Alcohol,Central Adelaide LHN,2024-25,2024,1916,3.11,Total,Persons,All ages,All,All,All,513946,372.8,356.1,389.5
Alcohol and other drug-related hospitalisations,Alcohol,Eyre and Far North LHN,2020-21,2020,192,2.95,Total,Persons,All ages,All,All,All,55000,349.1,299.7,398.5
