area_code,area_name,population,seifa_quintile,remoteness
401011001,Adelaide,4147,Q2,Inner Regional Australia
401011002,North Adelaide,9678,Q3,Outer Regional Australia
401021003,Adelaide Hills,7607,Q4,Remote Australia
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia
401021007,Mount Barker,12861,Q3,Major Cities of Australia
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia
401021009,Nairne,9833,Q5 - least disadvantaged,Outer Regional Australia
401021010,Uraidla - Summertown,5579,Q1 - most disadvantaged,Remote Australia
401031011,Burnside - Wattle Park,13603,Q2,Very Remote Australia
401031012,Beaumont - Glen Osmond,13038,Q3,Very Remote Australia
401031013,Toorak Gardens,9630,Q4,Very Remote Australia
401041014,Athelstone,11032,Q5 - least disadvantaged,Major Cities of Australia
401041015,Paradise - Newton,8181,Q1 - most disadvantaged,Inner Regional Australia
401041016,Rostrevor - Magill,11910,Q2,Outer Regional Australia
401051017,Norwood (SA),7380,Q3,Remote Australia
401051018,Payneham - Felixstow,6065,Q4,Very Remote Australia
401051019,St Peters - Marden,5334,Q5 - least disadvantaged,Very Remote Australia
401061020,Nailsworth - Broadview,4715,Q1 - most disadvantaged,Very Remote Australia
401061021,Prospect,8309,Q2,Major Cities of Australia
401061022,Walkerville,7170,Q3,Inner Regional Australia
401071023,Goodwood - Millswood,9958,Q4,Outer Regional Australia
401071024,Unley - Parkside,2154,Q5 - least disadvantaged,Remote Australia
402011025,Gawler - North,7372,Q1 - most disadvantaged,Very Remote Australia
402011026,Gawler - South,6382,Q2,Very Remote Australia
402011027,Lewiston - Two Wells,4344,Q3,Very Remote Australia
402021028,Craigmore - Blakeview,9138,Q4,Major Cities of Australia
402021029,Davoren Park,7223,Q5 - least disadvantaged,Inner Regional Australia
402021030,Elizabeth,5599,Q1 - most disadvantaged,Outer Regional Australia
402021031,Elizabeth East,4512,Q2,Remote Australia
402021032,Munno Para West - Angle Vale,12495,Q3,Very Remote Australia
402021033,One Tree Hill,11569,Q4,Very Remote Australia
402021034,Smithfield - Elizabeth North,9280,Q5 - least disadvantaged,Very Remote Australia
402021035,Virginia - Waterloo Corner,6141,Q1 - most disadvantaged,Major Cities of Australia
402031036,Enfield - Blair Athol,13361,Q2,Inner Regional Australia
402031038,Windsor Gardens,8760,Q4,Remote Australia
402031175,Northgate - Northfield,7193,Q1 - most disadvantaged,Major Cities of Australia
402031176,Valley View - Gilles Plains,12805,Q2,Inner Regional Australia
402041039,Dry Creek - North,5832,Q5 - least disadvantaged,Very Remote Australia
