area_code,drug_type,level,episodes,dimension
401011001,Alcohol,Females,8,Sex
401011001,Alcohol,Males,13,Sex
401011001,All drug-related,Females,20,Sex
401011001,All drug-related,Males,28,Sex
401011001,Anaesthetics,Females,1,Sex
401011001,Cannabinoids,Females,1,Sex
401011001,Cannabinoids,Males,3,Sex
401011001,Multiple drug use,Males,4,Sex
401011001,Non-opioid analgesic and antirheumatic,Females,1,Sex
401011001,Opioid,Females,2,Sex
401011001,Opioid,Males,1,Sex
401011001,Other,Females,1,Sex
401011001,Other,Males,1,Sex
401011001,Psychostimulants,Females,5,Sex
401011001,Psychostimulants,Males,6,Sex
401011001,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,1,Sex
401011002,Alcohol,Females,12,Sex
401011002,Alcohol,Males,20,Sex
401011002,All drug-related,Females,29,Sex
401011002,All drug-related,Males,61,Sex
401011002,Anaesthetics,Females,1,Sex
401011002,Analeptics and opioid receptor antagonists,Males,2,Sex
401011002,Cannabinoids,Females,4,Sex
401011002,Cannabinoids,Males,6,Sex
401011002,Hallucinogens,Males,1,Sex
401011002,Multiple drug use,Females,2,Sex
401011002,Multiple drug use,Males,4,Sex
401011002,Non-opioid analgesic and antirheumatic,Females,1,Sex
401011002,Non-opioid analgesic and antirheumatic,Males,1,Sex
401011002,Opioid,Females,2,Sex
401011002,Opioid,Males,6,Sex
401011002,Other,Males,1,Sex
401011002,Psychostimulants,Females,5,Sex
401011002,Psychostimulants,Males,13,Sex
401011002,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401011002,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,7,Sex
401021003,Alcohol,Females,14,Sex
401021003,Alcohol,Males,20,Sex
401021003,All drug-related,Females,31,Sex
401021003,All drug-related,Males,61,Sex
401021003,Anaesthetics,Males,1,Sex
401021003,Cannabinoids,Females,1,Sex
401021003,Cannabinoids,Males,6,Sex
401021003,Hallucinogens,Females,1,Sex
401021003,Hallucinogens,Males,2,Sex
401021003,Inhalants,Males,3,Sex
401021003,Multiple drug use,Females,3,Sex
401021003,Multiple drug use,Males,2,Sex
401021003,Non-opioid analgesic and antirheumatic,Females,2,Sex
401021003,Opioid,Females,3,Sex
401021003,Opioid,Males,6,Sex
401021003,Other,Males,1,Sex
401021003,Psychostimulants,Females,3,Sex
401021003,Psychostimulants,Males,13,Sex
401021003,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Females,2,Sex
401021003,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",Males,3,Sex
401021003,"Sedative-hypnotics, antiepileptics and antiparkinson",Females,2,Sex
401021003,"Sedative-hypnotics, antiepileptics and antiparkinson",Males,4,Sex
401021004,Alcohol,Females,10,Sex
401021004,Alcohol,Males,17,Sex
401021004,All drug-related,Females,30,Sex
401021004,All drug-related,Males,37,Sex
401021004,Cannabinoids,Females,2,Sex
401021004,Cannabinoids,Males,5,Sex
401021004,Multiple drug use,Females,2,Sex
401021004,Multiple drug use,Males,1,Sex
401021004,Non-opioid analgesic and antirheumatic,Males,2,Sex
401021004,Opioid,Females,4,Sex
401021004,Opioid,Males,3,Sex
401021004,Other,Females,1,Sex
401021004,Psychostimulants,Females,8,Sex
401021004,Psychostimulants,Males,5,Sex
